10
Ohio State University,1234 South St,Columbus,OH,43210,1234567890,150.00,100.00,50.00,500.00,450.00,400.00,5000.00,4000.00,3000.00,40.00,35.00,30.00,.25,10.00,150.00
University of Washington,1600 Northeast Ave,Seattle,WA,88940,1987654321,235.34,200.12,150.25,465.44,388.76,300.05,4935.50,3564.74,2974.35,35.20,30.40,20.00,.15,20.99,300.00
University of Louisiana,700 University Avenue,Monroe,LA,71209,4987654321,235.34,200.12,150.25,465.44,388.76,300.05,4935.50,3564.74,2974.35,35.20,30.40,20.00,.15,20.99,300.00
Oklahoma State University,700 N Greenwood Ave,Tulsa,OK,74106,2234567890,150.00,100.00,50.00,500.00,450.00,400.00,5000.00,4000.00,3000.00,40.00,35.00,30.00,.25,10.00,150.00
George Mason University,4400 University Drive,Fairfax,Virginia,22030,5987654321,235.34,200.12,150.25,465.44,388.76,300.05,4935.50,3564.74,2974.35,35.20,30.40,20.00,.15,20.99,300.00
James Madison University,800 South Main Street,Harrisonburg,Virginia,22807,5987654321,235.34,200.12,150.25,465.44,388.76,300.05,4935.50,3564.74,2974.35,35.20,30.40,20.00,.15,20.99,300.00
University of Virginia,190 McCormick Road,Charlottesville,VA,22903,6987654321,235.34,200.12,150.25,465.44,388.76,300.05,4935.50,3564.74,2974.35,35.20,30.40,20.00,.15,20.99,300.00
Gonzaga University,502 E Boone,Spokane,WA,99258,0987654321,235.34,200.12,150.25,465.44,388.76,300.05,4935.50,3564.74,2974.35,35.20,30.40,20.00,.15,20.99,300.00
Harvard College,86 Brattle Street,Cambridge,MA,02138,7987654321,235.34,200.12,150.25,465.44,388.76,300.05,4935.50,3564.74,2974.35,35.20,30.40,20.00,.15,20.99,300.00
University of Wyoming,1000 E University Ave,Laramie,WY,82071,3077661121,235.34,200.12,150.25,500.00,450.00,400.00,5000.00,4000.00,3000.00,40.00,35.00,30.00,.25,10.00,150.00
